id,name,surname,note,known_from1,known_from2,known_years1,known_years2
1,Solène,Meaders,human-in-law,internet,friend,7,22
2,Zoé,Gay,,school,work,20,29
3,Pål,Wyld,,work,app,13,27
4,Märta,McLay,,gym,app,8,31
5,Eloïse,Nicholes,,friend,friend,1,16
6,Renée,Blaylock,,internet,school,1,24
7,Maï,Loftus,,work,school,3,21
8,Simplifiés,Lankester,,internet,school,33,14
9,Réservés,Hyndley,,school,work,29,21
10,Célestine,Venn,,internet,family,32,30
11,Béatrice,Adelman,,family,school,5,30
12,Yénora,Baruch,,app,friend,13,7
13,Agnès,Fraser,,family,partner,31,1
14,Marie-josée,Di Giacomo,,partner,gym,27,17
15,Naéva,Harriday,,partner,app,13,13
16,Östen,Aslum,,app,partner,11,35
17,Kù,Simmins,,school,friend,35,35
18,Miléna,Padginton,,gym,partner,14,27
19,Méghane,Beesey,human-in-law,partner,partner,28,7
20,Irène,Royans,,work,app,31,20
21,Almérinda,Sidon,,app,partner,12,7
22,Annotée,Ugolotti,,family,app,26,30
23,Aí,Longworth,,app,friend,21,35
24,Bérengère,Koba,,family,gym,7,11
25,Gösta,MacGibbon,,partner,partner,23,8
26,Åsa,Grastye,best man,family,gym,2,22
27,Åslög,Skillman,sibling,gym,app,9,31
28,Gaëlle,Bradock,,app,gym,22,3
29,Solène,Stangroom,,app,partner,1,33
30,Wá,Corkish,,gym,work,5,18
31,Cécilia,Girardeau,,friend,partner,6,6
32,Océanne,Leamon,,app,work,21,24
33,Mélissandre,Romanski,,work,work,30,25
34,Néhémie,Orteu,,partner,friend,18,5
35,Maïté,Kanter,,partner,school,27,22
36,Mélina,Wherrett,,family,partner,18,32
37,Yè,Filan,,school,app,11,16
38,Aí,Degoe,,family,work,7,15
39,Ruò,Ionesco,sibling,partner,app,30,2
40,Clélia,Crowdson,,internet,internet,16,1
41,Félicie,Huey,,internet,internet,35,18
42,Cécilia,Fyrth,,internet,family,19,4
43,Pò,Voelker,,friend,friend,23,2
44,Laïla,Tupp,,partner,gym,7,8
45,Léa,Pourvoieur,,partner,internet,15,14
46,Publicité,Astie,,internet,gym,3,35
47,Aimée,Spelling,,family,work,28,35
48,Crééz,McEnhill,,app,internet,34,34
49,Mélodie,Pelosi,,school,work,8,18
50,Néhémie,Blakesley,,partner,family,18,11
51,Görel,Mulgrew,best man,work,gym,32,33
52,Lèi,Morch,,app,partner,8,28
53,Maïly,Harfoot,,work,school,33,28
54,Irène,Guyers,,app,gym,1,21
55,Björn,Danaher,,friend,internet,22,11
56,Athéna,Gillitt,,internet,friend,35,6
57,Lorène,Croote,,partner,work,35,24
58,Lorène,Josowitz,,partner,internet,4,27
59,Daphnée,Franklen,human-in-law,work,app,6,33
60,Maëlla,Toyne,,work,partner,20,26
61,Eléonore,Baillie,,family,friend,3,2
62,Daphnée,Zavattari,,work,family,17,19
63,Hélène,Muress,,internet,family,34,28
64,Åslög,Fullager,,partner,family,15,12
65,Edmée,Rawle,,app,app,17,14
66,Maëlla,Yurenev,,gym,app,14,21
67,Mårten,Male,best man,partner,app,24,28
68,Kévina,Tofanelli,,partner,school,33,13
69,Séréna,Ruperti,,friend,app,25,23
70,Marylène,Geraldo,,school,internet,22,2
71,Pål,Francomb,,friend,gym,13,12
72,Publicité,Bruins,,friend,internet,1,34
73,Nuó,Cawdery,,friend,friend,21,30
74,Marie-thérèse,Flanigan,,internet,partner,35,28
75,Gérald,Sofe,,internet,school,12,30
76,Maëly,Storkes,,app,gym,30,4
77,Lyséa,Alway,,school,friend,23,20
78,Desirée,Stokoe,,gym,friend,22,1
79,Sélène,Jerzykiewicz,,family,internet,18,15
80,Nadège,Baston,,school,partner,19,2
81,Méghane,Huddlestone,,friend,partner,34,7
82,Illustrée,Hanssmann,,partner,work,26,27
83,Maïly,McCorkindale,,school,internet,9,2
84,Nuó,Ben,,school,partner,7,17
85,Mélissandre,Kline,,internet,gym,8,15
86,Åke,Breslin,,gym,gym,30,18
87,Eliès,Allbones,sibling,partner,gym,14,28
88,Aí,Lambertson,,gym,partner,32,1
89,Göran,Hans,,gym,partner,6,19
90,Judicaël,Hebbs,,partner,friend,25,21
91,Eléonore,Habershon,,app,work,10,3
92,Noémie,Roja,,internet,partner,23,14
93,Cléa,Lasselle,,school,work,14,12
94,Almérinda,Dominicacci,,work,school,7,10
95,Céline,Scala,,family,friend,26,28
96,Kallisté,Durram,,gym,school,24,17
97,Françoise,Vaulkhard,,family,school,4,35
98,Félicie,Syres,,family,app,20,14
99,Michèle,Rouby,,partner,family,5,14
100,Åke,Matkovic,human-in-law,work,partner,6,9
101,Bérengère,Swiers,,internet,app,13,20
102,Maëlle,Cawker,,gym,internet,32,20
103,Léane,Glason,,school,family,7,32
104,Stéphanie,Mount,,work,partner,14,3
105,Céline,Robson,,friend,internet,9,26
106,Maëlla,Farre,,partner,work,6,25
107,Anaé,Benasik,,internet,partner,5,30
108,Marlène,Colleran,,work,friend,32,30
109,Clélia,Sorrill,,school,gym,17,6
110,Naéva,Gasticke,,app,family,30,4
111,Naéva,Bossel,,internet,app,8,14
